,price
0,16256.147501011379
1,6752.582176066935
2,1684.5235669594258
3,24224.535059690475
4,23498.181262777187
5,43528.7148372801
6,18362.212088215165
7,5114.412950634956
8,31374.777980785817
9,83370.2339030765
10,15328.601583724841
11,34627.39864386618
12,16816.00554508809
13,13928.612605923787
14,13172.407943936996
15,16146.610811235383
16,22600.82500224933
17,27855.67535821814
18,22131.217909776606
19,15320.959125898778
20,15888.604737235233
21,6601.009237998165
22,9940.513949202374
23,23715.847920655273
24,44458.92198265623
25,21060.707394129597
26,50566.47439313866
27,8501.221467049792
28,69970.60387250874
29,41573.65906136576
30,6676.216515492648
31,12810.413155336864
32,622812.6412544968
33,14999.515133756213
34,11936.697582889348
35,25264.830329032615
36,44415.33881495986
37,91078.44965138007
38,52688.1394682629
39,14191.99832036253
40,15778.807950764894
41,37825.60026586801
42,18815.32118135225
43,36253.13196155708
44,21289.983587848954
45,18551.688227576204
46,88067.28605985455
47,21365.7893834142
48,32500.10580217745
49,36377.24248050898
50,25125.094700844027
51,18281.40382545814
52,19648.79167045653
53,5936.930483841337
54,13868.210398267955
55,20291.0482537793
56,77436.27309232391
57,35796.37506493833
58,68518.0284579331
59,25463.936524362303
60,19780.575206787325
61,7544.508671383373
62,42596.42274224013
63,19254.29549888894
64,41262.0959754521
65,76853.95065289736
66,22519.20660220459
67,19485.312709346414
68,26726.200676260516
69,52162.063136498444
70,31035.225706094876
71,20360.165837308392
72,25423.645962915383
73,42484.09935876448
74,14453.568305349909
75,32505.307807368226
76,22308.985839481466
77,19432.55105157569
78,9197.451766718179
79,22671.640412165783
80,18544.21317035798
81,22554.181308060884
82,15653.45929162018
83,28671.79078355152
84,33947.379649480805
85,16346.355299907736
86,16345.303519031964
87,16800.81542086322
88,18993.05510960985
89,17427.629108350724
90,26888.104588552378
91,33496.347646269016
92,57727.681411082856
93,10880.33414894063
94,27108.00091557298
95,14610.461038590409
96,29451.671242555603
97,29909.37175587751
98,15832.921060625464
99,8991.853683291934
100,7629.2027714261785
101,23119.175293698907
102,15386.51661583595
103,28736.754308549687
104,9064.579286482185
105,34128.76615170203
106,18033.098504196852
107,40532.90130445082
108,50739.795698666014
109,115789.83864796627
110,41289.69181319047
111,26475.341895850375
112,15783.271046499722
113,16080.30939212162
114,20348.97079230845
115,32928.66006677691
116,68474.59080536198
117,2681.1534289773554
118,11106.710653848015
119,29832.66535351891
120,34641.14592906553
121,12043.81341388449
122,23594.380344731733
123,9929.18492654711
124,32719.818043548614
125,21061.440794939175
126,10851.809817008674
127,41177.07352383714
128,15190.04377731774
129,45173.49688529782
130,109162.38994253334
131,55895.12193924375
132,92878.54900827073
133,25979.734436344355
134,17606.164346128702
135,11992.279003420845
136,39160.680203297175
137,50292.19474854879
138,21118.793146161363
139,2115.0443305242807
140,6429.9824530230835
141,23026.402338022366
142,11821.592467397451
143,24535.907777879387
144,17918.964224311523
145,1254.9732159618288
146,6064.49312405102
147,42590.830925178714
148,15253.744232715108
149,120813.34103177022
150,19113.282043277286
151,17326.597702118568
152,12173.761168385856
153,26213.65363959316
154,22470.681493004784
155,16432.29240212962
156,73597.37460773997
157,18629.122536120936
158,10729.481479992159
159,23836.989085485227
160,30247.446590705775
161,18388.852696904913
162,26335.70964191761
163,20672.71647054702
164,14124.22883148864
165,22770.885541164316
166,10627.465980289504
167,116330.12924811523
168,28965.329399123788
169,501751.540829435
170,13866.311617610976
171,119082.61294473521
172,97115.20390099753
173,2195.3103467905894
174,10349.522176520899
175,16115.013037682511
176,81458.79761613999
177,5830.695477140136
178,38293.258528049104
179,29554.372905841097
180,44799.16028985847
181,23805.846765409224
182,17915.204660722055
183,15942.47979799565
184,49736.90855867602
185,27292.60960514471
186,11328.137822411023
187,50997.31616921257
188,11109.959984638728
189,20223.420877768658
190,14847.99893959798
191,11668.129763809964
192,5535.465816825628
193,22044.39093561191
194,44047.18360477872
195,56233.10234986991
196,23994.985778047703
197,5477.3012169431895
