,price
0,15410.979281874112
1,8466.976584126649
2,2073.3452779095096
3,23951.85868124856
4,22826.455785325088
5,44343.18511985999
6,17437.92977570402
7,7086.586762024308
8,31722.61979032983
9,84677.70465642441
10,14514.57744681125
11,35004.706069456704
12,16010.043550232047
13,13631.234451372875
14,12663.929077528475
15,15288.001049150422
16,21943.823129260156
17,27757.66682688406
18,21557.07664874257
19,14565.897243774816
20,15126.814545744215
21,8617.70002141231
22,10429.877089856833
23,23400.111366060388
24,45108.005995307
25,20272.838411555975
26,51483.749790517584
27,9436.015626216802
28,71060.36372409045
29,42350.221623352496
30,8398.410326484882
31,12838.407583528606
32,625824.3035934354
33,14705.576606979914
34,11794.852128746803
35,24878.279867068835
36,45144.117016709904
37,92262.43000535943
38,53551.9682341257
39,13734.97245977202
40,15047.383267958969
41,38323.61602448096
42,18132.96079911047
43,36561.104990500375
44,20640.894269765442
45,17671.030061475234
46,89081.29264220796
47,20636.17762657031
48,32578.814597812947
49,36841.647387175355
50,24772.85517699551
51,17386.068945469626
52,18746.22812120497
53,7801.197823281313
54,13196.00830287044
55,19496.680076701305
56,78502.41803743018
57,36186.44831780941
58,69617.24227745805
59,25055.201340406522
60,19160.3306113102
61,8822.727686423023
62,43286.75965401056
63,18381.858228134573
64,41890.6250176577
65,77973.3065302964
66,21937.327515233337
67,18726.281075551437
68,26462.441931001347
69,53187.93233487583
70,31084.528502168163
71,19561.030209622026
72,24967.9257175058
73,43307.256205092184
74,13704.039931795618
75,32918.36358505985
76,21634.642063169536
77,18668.893592530338
78,9767.68826347249
79,21935.01422233379
80,17835.326782267162
81,22065.696992313548
82,14955.981526318705
83,28664.311553834646
84,34133.62774717779
85,15470.437655509159
86,15521.53219606899
87,15945.662880357297
88,18176.620057597378
89,16580.72228630018
90,26663.281077383668
91,33825.5833285696
92,58677.96108177659
93,10732.798690427124
94,27320.059772450477
95,13837.91290286972
96,29335.63084348594
97,29880.95228307828
98,14873.259941497265
99,9305.522037056799
100,8681.42571941737
101,22628.480305484816
102,14807.967647656507
103,28709.765255974693
104,10169.680265543197
105,34395.312087313156
106,17260.79391240739
107,41364.32437001253
108,51690.84900848
109,116959.30841575304
110,41950.43015498677
111,26494.81903116571
112,15064.453556503577
113,15116.319028865779
114,19591.29805914106
115,33201.52006141358
116,69612.05530868768
117,4964.034186551522
118,10726.741346737079
119,29714.09783910628
120,35112.42996451384
121,11821.917435885523
122,23041.043875996984
123,10175.270997256855
124,32961.705019767425
125,20460.702931639913
126,10684.214302326844
127,41879.973495912884
128,14279.206108587445
129,46325.325550111505
130,110153.42712304875
131,56802.35562343948
132,93953.72693887804
133,25696.229382250138
134,16749.921759764606
135,11832.365706239303
136,39709.41479653612
137,51196.5103444421
138,20471.07746941608
139,3580.1019735597656
140,8009.150564285228
141,22294.264644328272
142,11439.216246332653
143,24163.15843045988
144,16974.66097757031
145,1759.3445320717583
146,7556.682633258024
147,43221.74465579327
148,14409.803848113486
149,122041.4290542735
150,18324.654905996256
151,16451.765049083333
152,11860.836065762356
153,26092.473367553146
154,21834.928294260957
155,15676.282667435298
156,74606.73552636403
157,17776.007048803265
158,10822.085751734703
159,23233.884482674068
160,30313.256732729613
161,17405.932296588144
162,25905.063211318775
163,19885.656286067184
164,13401.896660912433
165,22235.52885542292
166,10894.580172128684
167,117390.11304055629
168,28877.341802422394
169,505445.4267802255
170,13089.140551678574
171,120132.7809376475
